target_id	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0334489	60.0667	20.2124	0	20.0222	20.1786	0
FBtr0100600	347.637	76.2188	104.981	290.623	66.951	123.991
FBtr0300305	0	0	0	0	0	0
FBtr0077162	2	0	0	0	0	0
FBtr0072277	396	214	205	433	190	202
FBtr0344898	0	0	0	0	0	0
FBtr0086817	0	0	0	0	0	0
FBtr0333271	6.02237e-4	0	30.1073	47.1412	23.3569	16.0646
FBtr0072639	99.9994	54	14.8927	45.8588	10.6431	7.93544
FBtr0340000	124.37	9.83422	4.15617	234.572	6.51097	3.29169
FBtr0087390	249.63	174.166	167.844	780.428	463.489	550.708
FBtr0070472	0	2.46954	282.521	4.22797e-8	0.0272862	1.76032e-6
FBtr0331752	1114.48	547.403	508.915	1341.13	825.847	604.687
FBtr0070475	273.872	137.687	168.074	158.225	146.966	128.164
FBtr0070474	39.693	40.7296	0	63.2175	3.8558500000000002	19.7355
FBtr0302185	23.3201	6.11187	30.5458	14.2901	18.9955	4.11534
FBtr0070471	554.994	235.171	176.813	543.414	263.171	186.204
FBtr0112828	115.761	91.2256	80.3835	241.407	127.035	105.691
FBtr0301966	44.852	35.7111	14.7708	0	22.4606	0
FBtr0070468	349.371	264.678	0.223098	50.6715	377.495	328.481
FBtr0070476	0	0	0	0	0	1.24162
FBtr0070470	22.1093	0	0	0	0	0
FBtr0331751	26.8982	18.7127	20.3199	35.4531	8.0041	14.3036
FBtr0070469	2083.14	376.563	426.02	2344.41	450.409	296.424
FBtr0070467	0	0	0	0	0	0
FBtr0331753	163.671	16.7535	35.1211	163.907	38.7281	12.1993
FBtr0070466	0	84.2406	43.3473	501.87	0.990998	139.713
FBtr0070473	0	0	1.6012e-7	0	0	0
FBtr0076265	1438	484	590	1586	524	543
FBtr0331935	198.042	0	0	166.977	0	0
FBtr0088237	518.958	396	369	706.023	360	439
FBtr0081705	0	0	0	0	0	0
FBtr0088524	1156	669	696	1034	535	588
FBtr0074540	220	119	112	250	103	104
FBtr0074494	7	5	3	9	3	2
FBtr0085714	2464.67	2776.34	7052.28	2934.44	2515.7	3326.09
FBtr0085713	45187.3	19291.6	16270.7	61910.6	24674.2	25893.9
FBtr0076256	3	2	1	1	2	3
FBtr0339552	714.341	125.244	55.7514	509.07	108.224	91.9999
FBtr0078950	248.659	289.756	334.249	350.93	277.776	285
FBtr0070990	83.0446	6.84126	6.81863	123.462	7.51615	3.83125
FBtr0100409	291.814	2.61516	0	196.529	0	0
FBtr0343330	305.333	367.619	327.353	407.788	332.527	404.217
FBtr0304902	0	1	5.58146	0	1	1
FBtr0304901	1	0	3.41854	3	0	0
FBtr0078872	2	0	1	2	0	1
FBtr0077839	223.253	236.338	247.352	339.779	132.206	99.2585
FBtr0077837	124.646	0	18.7752	71.9286	18.7714	111.445
FBtr0077838	0.00137066	35.1556	2.54012e-5	0.0213883	109.995	21.2826
FBtr0077836	990.1	289.507	373.872	974.271	237.028	308.014
FBtr0075133	146.242	12.6193	10.9929	108.637	8.40288	18.9417
FBtr0332862	48.7582	30.3807	54.0071	198.363	99.5971	68.0583
FBtr0087988	198.881	1976.86	2912.21	1321.01	1760.12	1686.07
FBtr0087987	10551.1	5561.87	5063.38	9321.99	3877.83	5102.78
FBtr0074688	629	499	511	752	467	523
FBtr0086864	720	285	293	707	268	270
FBtr0083361	0	0	0	0	0	0
FBtr0392904	2515.37	303.734	290.969	1217.84	179.793	144.123
FBtr0084588	1860.89	1175.24	1425.17	3196.78	960.903	703.17
FBtr0303161	773.817	247.259	177.597	758.841	613.162	719.165
FBtr0079257	424	184	198	539	219	248
FBtr0307341	0	0	0	0	0	0
FBtr0084989	0.776722	1	0.726141	0	1.82658	0.879689
FBtr0306309	4.52637	0	0	5.69899	1	0
FBtr0344570	10.4736	6	1	4.30101	0	2
FBtr0078090	542	231	231.391	696	251	250
FBtr0087439	187	54	61	185	51	63
FBtr0070960	8	2	5	0	6	0
FBtr0302357	0	0	0	0	0	8
FBtr0302356	0	0	0	6	0	0
FBtr0340571	0	0	0	0	0	0
FBtr0340572	0	0	0	0	0	0
FBtr0080267	0	0	0	0	0	0
FBtr0077141	0	0	0	0	0	0
FBtr0306593	0	0	0	0	0	0
FBtr0081719	2071	985	1030	2040	764	884
FBtr0071549	535	314	296	699	289	356
FBtr0308832	103.538	54.3488	66.561	9.24624	52.7653	100.619
FBtr0308833	588.662	371.669	425.857	1193.74	401.935	373.319
FBtr0074921	928.8	113.982	20.5818	713.018	85.3002	57.0619
FBtr0073011	3	1	1	1	2	0
FBtr0112378	2	0	0	0	0	0
FBtr0342602	394.404	0	0	294.881	0	0
FBtr0080326	925.596	612.371	576.336	1021.12	544	629.645
FBtr0085405	1250	613	614	1309	603	701
FBtr0339295	0	0	0	0	0	0
FBtr0300316	0	0	0	0	0	0
FBtr0300904	0	0	0	0	0	0
FBtr0081633	2	0	0	0	0	0
FBtr0300905	0	0	0	2	0	0
FBtr0335279	0	0	0	0	0	0
FBtr0335281	0	0	0	0	2	0
FBtr0290216	3	0	0	4	0	0
FBtr0335280	5.15864e-7	0	0	2.3336e-7	0	0
FBtr0077120	276	191.764	181.373	297	195.362	182.437
FBtr0081676	0	0	0	0	0	0
FBtr0076639	8	3	2	4.8028	1	1
FBtr0079280	1	0	1	0	0	0
FBtr0304827	0	18.3501	0	0	0	26.8728
FBtr0433494	15.7685	0	11.5009	22.9932	1.03105e-4	2.5298
FBtr0333832	0	0	0	11.2536	6.16706	3.97143
FBtr0433497	4.61669e-4	9.2478	1.08774e-6	0	0	0.0148448
FBtr0333833	0	0	0	0	18.3897	0
FBtr0433496	0	2.88857e-4	9.33564	0	0	0
FBtr0304826	0	0	5.61495e-7	33.3184	0	0
FBtr0433495	0.0153666	0.00295018	3.38346	0.00123411	8.44889e-4	0
FBtr0433493	29.2481	6.58028	0	3.96704	3.07376	3.29273
FBtr0300808	0	0	0	1	0	0
FBtr0300809	0	0	0	0	0	0.552
FBtr0301700	0	0	0	0	0	0.224
FBtr0072287	2342	1027	977	2372	927	994
FBtr0343633	1011.8	31.2325	0	2475.08	135.463	78.7619
FBtr0074281	1667.82	1202.09	1145.63	1216.52	1186.94	1244.14
FBtr0343632	66.2684	47.2709	87.3224	23.708	69.4086	0
FBtr0074279	3867.88	924.41	919.082	4148.27	973.951	1104.78
FBtr0074280	0.232003	0	32.9689	2.42244	54.2397	39.3189
FBtr0072238	0	0	0	0	0	0
FBtr0308073	3.27802	12.7903	2.20793	20.7674	13.1246	6.47061
FBtr0082360	631.444	340.21	330.792	583.918	298.711	345.673
FBtr0082361	39.2777	0	0	13.315	6.16474	17.8567
FBtr0079938	56	25	37	45	21	29
FBtr0077227	1121.87	653.501	748	1233.73	612.845	690.336
FBtr0091702	114.133	16.9989	0	64.2682	11.1555	20.6643
FBtr0074882	475.478	292.571	266.774	536.349	281.863	268.096
FBtr0332153	297.23	46.9775	46.2898	314.714	58.6434	41.1365
FBtr0310476	25.883	136.893	97.8349	116.037	115.948	94.8876
FBtr0100666	256.478	57.6427	115.673	289.7	73.334	108.703
FBtr0332726	11.9319	18.9162	35.4285	54.2008	22.2125	31.177
FBtr0080287	238.265	99.8836	173.145	285.31	100.984	110.269
FBtr0309307	0	0	0	0	0	0
FBtr0300898	1	0	1	0	0	0
FBtr0080024	144	51.0189	59.2217	166	39.1898	44.5064
FBtr0077389	2502	1257	1332	2996	1272	1286
FBtr0290204	0	0	0	0	0	0
FBtr0086689	29.9596	166.441	127.546	25.012	87.044	119.18
FBtr0306636	623.627	177.124	226.644	313.098	127.825	162.895
FBtr0086687	874.587	79.3932	1.62331e-8	894.261	211.384	122.832
FBtr0086690	0.0238662	0	0	0	0	0
FBtr0086686	133.893	0	0	0	0	0
FBtr0340359	96.962	0	54.6769	92.2903	35.7272	37.1317
FBtr0301148	446.85	445.212	531.44	1238.54	405.848	519.929
FBtr0086684	1.07976	0	3.14169e-8	0	0	0
FBtr0306637	0.0830184	37.8294	0	0	0.0177032	0.0407546
FBtr0301149	262.934	0	12.6934	29.7935	9.15437	10.9908
FBtr0086600	65.6774	0	0	45.7263	14.1022	31.8994
FBtr0331978	394.323	158	175	375.274	132.898	134.101
FBtr0078769	15710	12542	12310	25912	12820	14832
FBtr0070712	17	9	6	20	9	10
FBtr0343263	2	0	0	0	0	0
FBtr0343264	0	0	0	7.42497e-7	0	8.02632e-6
FBtr0072024	0	0	0	0.999999	0	1.99999
FBtr0113111	0	0	0	0	0	0
FBtr0333452	0	13.4451	0	6.68413	10.6238	6.72645
FBtr0333450	0	1.55486	8.99999	24.3159	6.37618	4.27354
FBtr0333451	0	4.90317e-7	6.62564e-6	3.56839e-6	7.70007e-7	2.66472e-6
FBtr0300831	26	0	0	0	0	0
FBtr0076303	67.9219	23.4305	28.6181	0	50.5279	0
FBtr0076302	2.4201	12.6424	0.732767	32.2608	0.0355799	41.6576
FBtr0076301	1508.66	772.927	817.649	1143.74	546.437	584.342
FBtr0077098	1214	620.236	661.627	1235	544.638	593.563
FBtr0070552	0	0	0	1	0	0
FBtr0075818	472	244	266	466	209	253
FBtr0088789	181	60	64	136	53	65
FBtr0304960	0	0	0	0	0	0
FBtr0075249	1	1	0	0	0	0
FBtr0084104	7028	2667	2771	6278	2312	2587
FBtr0336911	403.05	97.4388	94.2351	459.299	106.703	190.852
FBtr0088974	200.134	161.767	184.86	372.379	225.254	168.322
FBtr0100360	81.5521	6.83263	23.1818	58.785	0	5.87215
FBtr0110880	0	0	0	0	0	0.284881
FBtr0334105	0	0	0	0	0	1.53651
FBtr0301185	0	0	0	0	0	4.69767e-6
FBtr0110881	120.448	55.1674	54.8182	143.215	97	75.3065
FBtr0336928	0	0	0	0	0	4
FBtr0072107	2	1	2	2	0	0
FBtr0085786	1013.35	382.083	387.108	625.076	272.189	274
FBtr0085785	109.65	0	0	35.7394	0	0
FBtr0334549	0	29.9169	31.8924	0.171628	26.8112	0
FBtr0334550	0	0	0	0.0125518	0	0
FBtr0340191	3113.89	9.22246e-6	2.25703e-5	447.382	2.51892e-6	2.17118e-5
FBtr0073848	650.107	2019	1821	3776.62	1884	1985
FBtr0078387	664.338	206.437	202.214	534.217	204.56	175.559
FBtr0087487	403	200	183	397	193	217
FBtr0083735	0	0	0	0	0	0
FBtr0332539	1	1	1	2	0	0
FBtr0077790	0	0	0	0	0	0
FBtr0331440	0	0	0	0	0	0
FBtr0331439	0	0	0	0	0	0
FBtr0082634	380	222	212	374	191	177
FBtr0079612	171	54.381	49.0036	124	42	54.6138
FBtr0087980	0	0	0	0	0	0
FBtr0087979	2	0	0	2	0	0
FBtr0072044	0	0	0	0	0	0
FBtr0343206	0	0	0	0	0	0
FBtr0072043	0	0	0	0	0	0
FBtr0075225	0	0	0	2	1	0
FBtr0112489	38.884	16.9411	17.6464	39.6395	16	20.0851
FBtr0339263	21.6359	0	4.31279	7.36054	0	1.85535
FBtr0301018	70	12	19	51	25	18
FBtr0302526	46	13.0329	11.8318	41	12.4094	14.8136
FBtr0100009	286	135	140	343	99	134
FBtr0089901	0	0.00828643	0	0	0	9.43879
FBtr0089902	10.3277	0	0	0	0	1.34153e-7
FBtr0300562	401.157	114.446	81.9461	211.647	114.158	81.1292
FBtr0089900	0	0	0	0	0	0
FBtr0089904	91.1207	0	0	0	0	0
FBtr0301521	169.917	13.6585	23.3751	12.9273	0	12.6391
FBtr0089905	128.478	13.8869	36.6788	219.426	61.8418	42.793
FBtr0345390	143.108	12.5079	0	31.1104	12.4966	12.5143
FBtr0331425	112.884	126.624	137.978	55.1303	101.351	56.3201
FBtr0332155	448.008	93.8679	119.022	314.759	39.1527	49.1656
FBtr0075014	0	0	0	0	1.44114e-4	8.62703e-7
FBtr0078874	0	0	0	0	0	1
FBtr0083452	716.387	188.612	204.522	654.093	258.92	220.251
FBtr0302317	466.613	341.388	297.478	577.907	304.08	356.749
FBtr0333248	0	0	0	0	0	0
FBtr0114524	3	1	0	3	2	4
FBtr0273385	198.582	4.14845	35.1597	197.247	56.2385	103.065
FBtr0339307	0	44.3067	22.3712	179.217	52.0534	0
FBtr0273384	116.418	133.545	130.469	409.536	216.708	172.935
FBtr0082117	48.1337	74.6246	60.9414	201.795	139.551	112.771
FBtr0082116	319.274	71.9206	44.6349	289.945	88.3416	78.4643
FBtr0082118	182.766	84.6032	84.4237	338.26	133.107	100.765
FBtr0085011	1	4	1	1	0	1
FBtr0081174	0	0	0	0	0	0
FBtr0081175	0	0	0	0	0	0
FBtr0303241	79.2661	69.0899	52.3034	124.727	42.5538	52.8097
FBtr0081176	68.55	0	0	13.0229	0	0
FBtr0305129	1208.15	229.222	241.982	794	203.672	235
FBtr0339156	140.852	39.7777	0.0178907	4.3466e-8	46.328	0
FBtr0339157	0	0	0	0	0	6.15494e-8
FBtr0071784	82.1593	0	0	28.2154	0	0
FBtr0071785	1081.84	700.038	701.138	1811.78	799	896
FBtr0089148	381.08	0	30.0185	97.4696	46.4208	10.3201
FBtr0089147	317.664	51.2055	7.88587e-5	2.15346e-8	5.40721e-7	2.45503
FBtr0089150	537.466	31.2277	49.378	111.102	0	30.0942
FBtr0089146	299.344	5.22382	30.389	0	12.379	68.6024
FBtr0308247	1059.42	447.236	425.214	1699.44	708.108	531.528
FBtr0089149	167.03	34.1071	0	42.987	41.092	0
FBtr0302559	0	0	0	0	0	0
FBtr0346506	0	0	0	0	0	0
FBtr0302190	166.294	0.00706113	101.342	179.235	24.5799	0.0121422
FBtr0086145	248.706	204.993	84.6582	260.765	187.42	206.988
FBtr0306281	0	0	0	0	0	0
FBtr0306280	0	0	0	0	0	0
FBtr0306258	3286.49	40.8652	0	3856	42.5148	85.161
FBtr0073119	2143.65	2375.36	2086.62	2413.56	1573.82	1180.52
FBtr0073120	4743.98	1621.42	1366.97	1639.06	926.12	861.399
FBtr0073118	10985	2698.88	2044.86	5539.45	1866.93	1548.57
FBtr0337055	363.53	236.264	183.442	297.65	278.244	245.622
FBtr0333895	84.3366	1681.21	2065.58	56.2738	1361.84	1631.86
FBtr0337056	0	0	64.519	1637	443.532	288.859
FBtr0077442	140	49	48	118	52	46
FBtr0076018	95.4682	20.7401	8.36304	79.4299	19.2642	21.2973
FBtr0076017	59.5318	60.2599	66.637	82.5701	43.7358	41.7027
FBtr0339781	2	0	0	0	0	0
FBtr0070778	0	0	0	0	0	0
FBtr0344824	0	1	0	0	0	0
FBtr0345292	47.9766	33.0774	120.474	0	98.5361	64.1608
FBtr0070983	0	97.3818	118.379	0	77.6647	0
FBtr0070982	6411.87	13.9203	8.57959	5283.87	7.4804	10.0964
FBtr0070981	8192.28	379.259	318.322	20619.8	427.138	578.759
FBtr0070980	16554.9	22972.4	23129.2	15906.4	22509.2	29493
FBtr0307300	782.319	223.123	220	573	222.632	249.68
FBtr0113024	15.681	25.7358	0	0	27.228	12.3202
FBtr0332600	0	0	0	0	0	0
FBtr0083414	455.007	314.207	373.197	672.137	328.439	300.902
FBtr0337043	230.993	17.793	3.80279	92.863	3.56074	25.0982
FBtr0077516	1	0	0	0	0	1
FBtr0112524	23.6476	19	9.61777	43	15	12
FBtr0089233	338.921	42.6172	0	0	67.2041	0.132243
FBtr0334626	0.111766	0	78.4612	80.152	23.6278	55.539
FBtr0310651	1628.83	64.2653	0.0868498	399.705	72.14	0.0903366
FBtr0089229	569.139	472.118	468.452	2090.14	532.028	570.238
FBtr0082920	1	0	0	1	0	0
FBtr0077386	486	217.182	214.448	525	209.113	215.399
FBtr0071106	0	0	0	2	0	0
FBtr0070937	2423.24	1805.68	1979.3	2977.36	1074.44	1545.39
FBtr0070938	3734.76	907.317	799.703	3322.64	1480.56	1024.61
FBtr0070397	9	9	8	16	9	2
FBtr0074346	0	0	0	1	0	0
FBtr0071471	0	0	0.904912	0.938438	0	0
FBtr0330316	0	0	0.0950883	0.0615618	0	0
FBtr0074918	288	138.13	160.386	334	111	144.346
FBtr0072124	572	304	294.177	678	281	346.177
FBtr0071683	803	534	537	1132	470	494
FBtr0077403	0	0	0	15.9974	0	0
FBtr0113021	0	0	0	0	0	0
FBtr0077402	0	1	0	0	0	0
FBtr0077401	8	0	5	0.00259399	8	3
FBtr0300280	4	2	2	4	1	0
FBtr0346378	0	0	0	0	0	0
FBtr0074809	938.659	697.106	685.263	635.969	446.052	451.812
FBtr0335137	186.341	0	0	138.031	6.94774	0
FBtr0346141	31.0133	1.97803	0	12.0607	3.86558	0
FBtr0085611	4.98667	9.02197	3	3.93926	11.1344	6
FBtr0074029	4	2	0	2	0	0
FBtr0075388	11	2	0.0936709	7	0	2
FBtr0343534	0	0	2.90633	0	2	0
FBtr0086001	3	5	6	4	2	1
FBtr0321315	0	0	0	0	0	0
FBtr0333037	145.709	0	0	72.8532	24.4781	0
FBtr0075724	116.797	62.8159	54.5084	289.147	86.2542	78.5994
FBtr0075723	3.49425	12.1841	29.4916	3.58706e-7	6.26765	22.4006
FBtr0342770	40.0425	0.00998347	278.81	70.1758	0.0417219	0.0309972
FBtr0070420	3161.33	2044.99	1717.19	4384.19	2418.96	2117.97
FBtr0342771	678.626	0	1.65372e-8	399.635	0	0
FBtr0333323	257.415	2.45612e-5	14.7982	25.8291	2.04539e-6	0
FBtr0333322	35.1356	18.9137	0	0	32.2227	16.6697
FBtr0074137	64.4956	11.5682	96.4942	69.3105	0.00226841	0
FBtr0074135	1703.95	767.518	680.708	2368.86	792.775	900.33
FBtr0308136	0	0	0	0	0	0
FBtr0080237	0	0	0	0	0	0
FBtr0300638	0	0	0.666667	0	0.666667	0
FBtr0073729	221.635	65	50.8696	240.036	85.8462	59.871
FBtr0084836	196	106	101	241	80	109
FBtr0082430	148.386	9.62801	0	174.455	9.32875	0
FBtr0335211	266.614	172.372	218.757	217.545	110.671	157
FBtr0076857	11	8	5	9	2	7
FBtr0300424	21	6	6	26	6	0
FBtr0083860	329.219	65.2135	8.35138e-6	516.013	22.143	0
FBtr0302327	2156.27	1485.08	1766.29	2129.04	1297.63	1628.9
FBtr0083861	1217.51	114.706	69.706	1579.94	173.224	178.104
FBtr0083086	276.526	208.599	204.996	317.673	138.111	176.049
FBtr0334589	162.64	29.8787	20.7068	132.958	45.4136	25.3925
FBtr0091874	3.90605	0	1.13516	0.443903	1.88338	1.51117
FBtr0073935	2	0	0	3	0	0
FBtr0073300	0	0	0	0	0	0
FBtr0073299	0	0	0	0	0	0
FBtr0088841	57.4869	36.0501	18.3819	55.9368	36.8567	34.7844
FBtr0088842	851.962	533.581	560.04	1053.77	465.696	560.053
FBtr0345599	4.90324	0	0	5.49275	0	0
FBtr0070422	0	0	2	2.11803	4	6
FBtr0342772	0	2.697	0	0	0	0
FBtr0070421	8.09676	1.303	0	1.38922	1	0
FBtr0333023	0	0	0	0	0	0
FBtr0075579	3	1	5	4	2	2
FBtr0072248	0	9.335e-4	0	0.00447365	0	0
FBtr0345620	0	0	0	0	0	0
FBtr0072247	4	0.999066	3	6.99553	0	0
FBtr0072253	308.45	0	0	291.049	0	14.7037
FBtr0343432	151.735	231	209	205.741	173	189.094
FBtr0073127	0.00704323	0.00274373	0.0161675	0.00268116	0.00176991	0.0037331
FBtr0073128	4.99296	1.99726	4.98383	2.99732	1.99823	1.99627
FBtr0079458	0	0	0	2.18747	0	0
FBtr0079460	13.4939	10	11.6819	14.1672	9.74856	8.56958
FBtr0079462	0	0	1.06497	1.09489	0	0
FBtr0079461	0	1	1.06594	2.19313	0	0
FBtr0079459	13.5061	7	3.18721	16.3573	3.25144	6.43042
FBtr0081997	255.817	185.224	220.039	460.162	287.122	376.889
FBtr0081996	38.26	0	8.48146	80.1355	27.1625	6.33084
FBtr0336761	215.923	97.7761	69.48	278.703	91.7158	64.7797
FBtr0336637	0	0	2.85028	0	0	3
FBtr0300693	2.65992	0	0.149718	0	0	0
FBtr0336636	2.33108	0	0	0	3.52248	0
FBtr0071797	0	0	0	0	0	0
FBtr0336638	0.00899909	1	0	1	1.47752	0
FBtr0087382	1138.92	1217.43	1238.87	1030.7	887.145	854
FBtr0339998	1396.12	0	0	972.297	25.0352	0
FBtr0301478	908.079	411.815	322.809	996.061	541.727	493.174
FBtr0089521	168.989	64.0196	90.8717	65.2558	45.7022	91.4172
FBtr0306351	19.812	28.8121	60.4085	43.0254	8.06725	18.7152
FBtr0306350	57.7616	27.4275	29.5164	194.208	25.1876	26.1946
FBtr0330046	168.989	64.0196	90.8717	65.2558	45.7022	91.4172
FBtr0301477	76.3706	31.9063	9.52222	82.1931	42.6134	32.0816
FBtr0300224	1.61664	0	0	0	0	0
FBtr0114515	1.65883	2	0	1.13385	0	0
FBtr0087406	0	0	0	0	0	0
FBtr0072888	0	1	0	0	0	0
FBtr0085859	0	0	1	0	0	1
FBtr0334894	3829.03	2003.1	2329.84	3812.78	2101.26	1902.08
FBtr0084460	1939.62	304.277	0	2060.85	182.437	334.84
FBtr0304567	45.343	230.624	135.164	818.368	330.299	150.085
FBtr0070907	3730	1971	1944	5044.45	2252	2158
FBtr0070906	0	0	0	21.1077	0	0
FBtr0305911	285.623	123.535	231.95	53.9879	72.9081	97.2681
FBtr0289953	242.141	127.742	54.05	366.185	111.539	63.7891
FBtr0305910	226.235	32.7228	0	200.827	53.5529	50.9428
FBtr0088312	0	0	0	16.0116	3.47024	0
FBtr0088313	0	0	14.1837	0	9.32189	0
FBtr0088311	0	16.9264	0	0	0	11
FBtr0304592	51	10.0736	8.81633	13.9884	8.20787	0
FBtr0088882	1650	1037	1102	1951	920	1046
FBtr0079894	522.978	259.84	214.888	580.79	359.62	266.36
FBtr0331635	0.0253045	57.7146	128.366	3.48372e-6	59.2337	185.557
FBtr0345615	281.628	81.3498	65.3353	341.975	60.8958	81.408
FBtr0071338	5322	3192	3141	8406	4649	4458
FBtr0334508	4.37449	0	3	4.37449	0	0
FBtr0085746	0.62551	5	0	3.62551	1	0
FBtr0085085	1122.85	820.815	809.789	750.892	346.669	390
FBtr0085084	159.151	4.18455	5.21098	28.108	4.33088	0
FBtr0079304	0	0	0	0	0	0
FBtr0079732	0	0	1	0	0	0
FBtr0071108	0	33.8325	183.433	8.27094	0	134.982
FBtr0340139	8.27176	35.8725	0	14.826	0	0
FBtr0071107	1662.19	899.599	808.011	2418.27	1071.23	919.798
FBtr0340138	431.534	37.6961	45.5563	240.631	61.7725	69.2203
FBtr0309839	1.25395	0	0.0166456	0.764601	0	0
FBtr0309836	1571.53	0	16.1404	1572.08	0	0
FBtr0309837	653.885	0.00931076	0.0040948	557.156	139.594	21.0348
FBtr0073144	5667.11	4046.96	4093.03	7039.38	4491.2	4254
FBtr0309838	1423.22	98.0305	77.8071	1253.62	44.2037	59.9606
FBtr0075152	1275.67	485.623	478	1517	522.73	558
FBtr0300092	0	0	0	0	0	0
FBtr0073892	0	0	0	0	0	0
FBtr0343143	0	0	0	0	0	0
FBtr0332630	706.377	54.91	29.4597	569.742	41.1032	12.0095
FBtr0332631	1527.91	458.801	451.843	1076.84	419.407	488.462
FBtr0332632	950.451	280.311	219.664	939.534	420.765	282.872
FBtr0301268	13	5	5	17	6	4
FBtr0085909	12	5	6	13	5	1
FBtr0080763	763	355	357	690	281	282
FBtr0086733	409	214	249	455	206	226
FBtr0087262	1131	762	745	1138	588	723
FBtr0303232	58	37	30	24	5	16
FBtr0344155	2102.26	472.359	495.263	1661.78	311.339	231.246
FBtr0070316	1196.74	1034.64	1067.74	1736.22	1270.66	1158.75
FBtr0344279	5	1	4	8.14444	2	4
FBtr0076133	7	2	7	7	0	3
FBtr0082259	1661.59	873.165	882	1583	833	874
FBtr0079708	376.534	140.001	139.425	819	355.154	429.67
FBtr0330181	246.701	0	0	338.802	0	3.43423
FBtr0074894	582.299	348	369	622.198	315	411.566
FBtr0082726	142.541	26.3082	46.5803	15.8878	56.2734	0
FBtr0331429	62.1231	0	3.54072e-4	0	0	32.2874
FBtr0331428	209.279	137.207	92.4966	286.285	111.016	9.2097e-5
FBtr0082727	21.3577	91.2641	99.2294	0	62.7146	60.6226
